District,Total Population,Total housing units,Biden 20 Votes,Trump 20 Votes,2020 Votes,Clinton 16 Votes,Trump 16 Votes,2016 Votes,2012 Margin,Obama Votes,McCain Votes,High school,"Some college, no degree",Associates degree,Bachelors degree,Graduate or professional degree,Median household income,Mean household income,Occupied housing units,Vacant housing units,Median house value,Median gross rent,Urban Population,Suburban Population,Rural Population,Total Respondents,Employed,Unemployed,Not in labor force,Driving alone,Carpools and taxis,Public transportation (excluding taxis),Walked,Other means,Worked from home,Mean travel time to work (minutes),Median age,One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Latino
NM-3,703657,321083,163008,130808,293816,130993,103605,234598,-14.96%,136263,103042,133718,117178,37144,64148,63650,51404,73550,270248,50835,199400,885,124838,273741,295351,693930,271157,28392,254324,201496,23446,1033,4321,5056,35351,22.2,39.6,548059,303917,9119,120670,7105,399,106849,155598,319512
NV-1,757119,322301,172630,144981,317611,136793,110346,247139,-14.52%,134341,92692,151503,119435,42909,81483,43334,57599,80430,284998,37303,346800,1182,270476,398970,13014,682460,333471,40260,228628,222385,37142,8424,5184,11052,41502,24.7,38.6,625739,344844,70599,15820,59176,4151,131149,131380,290945
NV-2,785611,339530,173065,217352,390417,130909,175340,306249,9.14%,143971,143042,145146,131571,52572,98546,64720,74058,99082,310401,29129,415200,1259,148603,386772,153124,688498,377816,23219,235789,261393,38180,8967,5907,12999,46685,24.7,40.2,669096,515114,15483,12937,33252,3694,88616,116515,188500
NV-3,806554,341048,190170,166060,356230,139314,120658,259972,-8.81%,130234,96885,136463,134950,54703,136620,68078,69204,97791,317951,23097,405100,1465,187781,452545,9329,649655,385382,47202,221337,258976,36419,4912,3202,10868,61726,22.8,39.3,675174,380931,77980,6573,135993,10218,63479,131380,167765
NV-4,794707,302655,167621,141497,309118,132235,105694,237929,-17.80%,125085,80099,164273,126570,46452,76559,35286,63987,80593,278030,24625,332300,1280,209810,421387,48750,679946,328024,42194,249970,246771,32329,5593,4140,8220,32421,26.2,37,622369,319121,124055,9331,41430,4962,123470,172338,293549
NY-1,780204,328735,212150,211235,423385,165585,195353,360938,2.45%,187097,176247,119828,80077,49992,137872,128676,120031,160454,273867,54868,565000,2096,34305,655132,56217,745654,391559,24313,224764,268171,19240,12971,6115,4455,73633,30.9,43.1,708314,600505,29069,1813,39719,0,37208,71890,105499
NY-10,705068,354187,244557,39879,284436,227341,28793,256134,-70.59%,216877,36884,67652,41555,16518,168432,141312,95778,165901,300869,53318,1093400,2015,650460,40505,1296,692262,361599,35993,180756,26880,7751,108300,55435,17499,139158,32.9,35.6,630852,368652,48749,5281,130660,90,77420,74216,139273
NY-11,766546,293461,134686,157195,291881,110014,129447,239461,-6.92%,112117,114931,147528,75115,36496,125409,77363,76805,103035,268489,24972,645000,1513,297616,421653,4661,723930,329737,32023,257603,130214,24978,81660,14590,7936,58937,41.4,40.5,684488,417640,53271,8425,139844,484,64824,82058,148770
NY-12,689590,475568,291101,47205,338306,271195,41591,312786,-55.25%,271611,61557,41485,44625,19203,206632,225706,116070,202063,360540,115028,994400,2399,633684,11212,90,644987,389880,32011,187303,19336,3510,103617,71587,25432,162561,28.2,41.8,616741,461103,36139,665,87515,546,30773,72849,83329
NY-13,780825,333068,242573,30506,273079,243798,13951,257749,-90.97%,239819,15369,117703,87442,30745,117555,84619,45683,74932,303357,29711,591100,1347,683773,13599,6121,703493,329385,66815,242492,30984,8660,159197,30990,13632,75275,39.5,37.4,644275,143137,192232,13530,39812,483,255081,136550,424996
NY-14,696136,293865,181163,49636,230799,171587,32233,203820,-73.69%,161857,33279,133633,74119,42897,88584,52238,56129,76444,259099,34766,558700,1491,614876,104420,8601,727896,300605,42400,226635,69847,13473,133576,21499,9630,43262,42.8,37.7,576343,148852,137278,4972,71447,1858,211936,119793,368106
NY-15,757465,291630,182449,31682,214131,186080,16844,202924,-85.42%,173762,19125,128632,84756,36538,70733,42326,40319,60956,282835,8795,416400,1289,658898,54637,5499,719035,282198,58884,246160,60791,10569,136579,19720,11777,32785,42.6,34.9,617873,99277,239098,12595,21672,1041,244190,139592,422312
NY-16,765635,298078,233178,90393,323571,208903,80140,289043,-36.55%,200260,92543,95181,70022,38549,132085,137165,96948,156842,284594,13484,587900,1674,269859,432007,6499,708365,366481,34494,215782,160820,19995,57758,14748,9941,93455,32.4,40.5,652022,334027,159035,3609,48791,0,106560,113613,218986
NY-17,776481,277343,210405,171551,381956,179409,151621,331030,-5.47%,180340,154433,100293,75074,36618,139603,118099,114511,154173,259885,17458,511200,1746,69377,533984,89795,693155,354991,29341,225091,216561,25424,18513,7884,5767,73143,33.1,40,699354,521317,60404,3008,38174,174,76277,77127,147360
NY-18,776747,308186,193315,163049,356364,151946,149315,301261,-10.69%,174152,140716,136712,93325,53939,110522,85655,84999,111475,288205,19981,328600,1349,106270,405034,237179,748483,367076,25343,231744,247572,27364,10368,10934,6126,62446,31,39.6,689720,516857,82503,6667,23703,560,59430,87027,138898
NY-19,779018,400810,193520,176058,369578,155513,161077,316590,-9.42%,192277,153884,153183,87567,65229,97071,89191,61944,86391,327187,73623,178100,901,115043,256299,420179,791522,361542,24936,274293,239217,27710,6659,17551,6072,55508,22.8,42.6,727893,646648,31613,3960,27147,71,18454,51125,49385
NY-2,775593,260163,175557,180969,356526,143763,164871,308634,-9.82%,165764,139771,158028,96514,50761,102863,78168,109607,137661,247615,12548,450900,1981,62370,676975,23817,763162,406635,24573,203110,290700,34321,11627,4313,8064,46133,29,40.6,663844,464271,85457,2098,23591,158,88269,111749,213472
NY-20,774705,362335,225887,151955,377842,180340,139716,320056,-19.43%,204069,142269,123647,91937,59605,121118,106367,77230,96848,328293,34042,248000,1102,180089,444082,120548,744720,382366,24725,237365,254193,24440,8884,9970,4943,72998,22.5,40.2,713039,586121,68252,2350,37357,519,18440,61666,46712
NY-21,776503,400964,156080,201182,357262,125044,175656,300700,-4.85%,170224,158678,183144,96342,71560,83456,62896,63211,79513,318497,82467,160800,865,78508,241170,461832,781510,345003,21225,266196,265168,24695,1437,13968,3902,37613,23,42.2,732409,686644,20498,4780,6593,188,13706,44094,33229
NY-22,771373,347708,195811,168086,363897,157786,151125,308911,-12.59%,187733,148956,144163,91215,67414,98546,82643,64128,87566,316894,30814,167000,890,178051,366295,175412,719758,351732,21383,252572,253063,23341,5007,12418,5760,47332,20.2,40.2,706404,601922,59043,3107,25817,365,16150,64969,42659
NY-23,778483,374041,162337,231464,393801,126048,212403,338451,9.33%,168674,190436,173616,93743,76298,99031,75228,62999,81568,327857,46184,161100,791,104006,335267,352102,791376,349534,22482,269118,262471,23230,721,8480,4453,42094,21.5,44.1,739379,698204,18912,4531,6013,567,11152,39104,28483
NY-24,772455,370432,150953,215446,366399,120489,192254,312743,3.87%,159547,176086,175811,97511,74425,83722,64332,64880,83020,321677,48755,156200,840,100324,226272,471186,797782,355106,22221,257307,270951,25456,1093,8808,6450,34697,23.4,42.8,728219,682885,21189,1344,6647,221,15933,44236,29172
NY-25,776267,347060,228228,151739,379967,190547,141997,332544,-17.50%,210342,148999,132039,83902,63644,120816,95132,65695,89502,326809,20251,173700,995,231056,438350,87833,757239,379601,27344,228681,259854,28645,6811,8359,5017,62528,19.7,39.6,716975,550461,109772,1983,27256,95,27408,59292,72556
NY-26,767330,365567,216284,133075,349359,178774,127893,306667,-26.08%,213149,126039,136859,96571,58724,110824,85953,56989,76419,338157,27410,175800,895,337149,367698,45649,750495,359747,30733,237268,251682,23332,13239,9178,5723,47231,19.6,38.7,716924,528414,124085,2195,41145,150,20935,50406,50942
NY-3,781920,281167,213376,180846,394222,176906,159062,335968,-5.31%,181914,156854,111642,65971,40929,157433,137397,119185,163504,270434,10733,670600,2069,119937,617715,8559,746212,372276,27222,240505,211235,26997,35255,5665,7281,78353,33.6,44.3,713343,461648,26991,1800,179436,121,43347,68577,100845
NY-4,774038,262165,223908,166536,390444,191158,148717,339875,-15.54%,194987,148805,130541,76494,45624,133147,109681,121979,150526,249034,13131,589500,1826,121931,608622,5723,736277,388822,30029,205942,235015,27788,34827,7427,5548,68782,34,40.8,688357,405741,133584,2904,52732,174,93222,85681,172151
NY-5,822717,263666,216236,49325,265561,200133,34377,234510,-78.38%,195329,33766,166137,100921,45012,94232,61735,73628,97620,250423,13243,605400,1589,481952,224919,4968,711839,343421,53686,265086,138986,20787,106234,16281,8624,42965,44.2,39.6,728084,122849,325189,6651,123097,0,150298,94633,180200
NY-6,736965,302682,155615,82743,238358,140553,57437,197990,-43.45%,128887,63395,127613,65218,40918,128651,87560,70187,93518,282042,20640,666200,1699,539063,184167,3172,726402,333865,39788,235422,85493,25719,113144,27036,9571,62412,39,43.2,652549,213143,32386,5639,298432,653,102296,84416,189055
NY-7,717913,317191,207893,47021,254914,186396,26247,212643,-76.86%,153836,29355,114057,59405,31010,151993,91125,79594,109260,290124,27067,752200,1916,595961,80750,3932,680644,370099,47274,181927,55386,11725,137601,25110,14725,115398,39,34.8,586587,275367,77595,8855,102267,1046,121457,131326,245566
NY-8,758070,307050,194739,58982,253721,181886,42661,224547,-70.79%,179213,40361,153507,74309,43199,109443,74583,55121,80752,288209,18841,669400,1406,553584,148990,3165,705739,314084,40961,250871,69358,11722,120122,21823,12991,68985,43.5,38.4,680193,223624,325120,3368,63925,163,63993,77877,123162
NY-9,777866,313439,202885,64239,267124,184937,44771,229708,-59.97%,181108,50033,136792,77909,42915,116066,82698,63306,88639,287674,25765,763200,1552,652196,82980,3947,739123,339029,43709,228075,65954,13526,131180,27414,17269,73593,42.3,36.5,701527,263527,314900,3562,65034,88,54416,76339,89219
OH-1,786192,354155,220132,185306,405438,188237,173374,361611,0.24%,193623,183714,126473,89896,38836,141085,97614,69885,103755,327967,26188,252100,922,255103,428647,55980,739730,386690,21316,215894,260275,22136,7094,8643,4562,77816,22.6,36.3,740840,545123,148541,801,31892,157,14326,45352,31912
OH-10,784794,361623,185655,199444,385099,166482,189189,355671,0.02%,200330,194185,146018,124371,56389,95969,73240,60227,78578,328677,32946,162800,847,213725,478438,84433,776597,367668,20751,238753,271784,29701,3350,6814,2731,51061,22,39.1,733240,571491,131117,1027,18264,200,11141,51554,27981
OH-11,767086,406215,280544,74107,354651,282881,65718,348599,-63.45%,324147,78910,152126,109827,42273,100016,77025,45480,70410,356761,49454,123600,857,469914,328399,10205,808518,354660,38759,235159,230545,27093,11442,12691,6502,56818,23,38.3,710966,329480,335555,2661,20325,496,22449,56120,55737
OH-12,793802,328680,131542,251597,383139,115600,218596,334196,12.30%,154273,192450,192835,101374,48327,87016,49756,65943,87370,299207,29473,199800,828,110758,281264,366178,758200,368072,15410,251495,263708,29264,467,8417,6867,51262,25.6,39.4,754479,707668,25409,354,14280,375,6393,39323,16641
OH-13,783099,359671,205962,194511,400473,182322,174471,356793,-11.56%,224954,170347,169658,107744,46505,118112,69493,62114,84976,333985,25686,173400,833,229660,490378,68811,788849,376341,21129,238627,276123,25115,2657,5477,4103,55778,22.2,41.5,718942,602977,82635,1525,24707,79,7019,64157,20345
OH-14,785721,353797,172804,234502,407306,154456,205894,360350,-5.54%,212433,182173,204037,102983,48347,97183,55759,64318,83382,321935,31862,170600,817,109862,442811,242554,795226,373217,20427,251428,278357,28954,1548,4197,4750,46740,24.1,43.2,737108,683725,37080,629,8117,553,7004,48613,25755
OH-15,778819,334716,170733,195927,366660,141421,175972,317393,3.88%,151787,169878,165180,105386,46694,107665,69177,67626,87492,316810,17906,214000,1077,164653,439033,115721,719408,389290,21752,206190,272513,26965,1374,3543,4022,72766,21.9,38.2,724125,583489,88079,1788,30818,194,19757,54694,42845
OH-2,785898,339930,100789,272334,373123,91114,241519,332633,21.16%,135675,207906,226435,97170,48304,71729,41722,56397,75077,307956,31974,162500,798,93701,260992,438475,793168,333384,20161,279524,257544,27823,911,3768,3755,33654,27.4,41.1,753940,732475,12589,579,4591,38,3668,31958,11685
OH-3,794704,359271,271664,104532,376196,239177,101909,341086,-32.26%,225005,119181,114994,97924,37436,141707,88993,64055,91171,332407,26864,259500,1074,246012,431970,8101,686083,411558,24788,192523,257082,22915,7832,8026,7882,101394,20.8,33.4,729154,438741,226049,2038,41819,61,20446,65550,45342
OH-4,793670,334853,125725,268715,394440,103475,237194,340669,25.10%,139883,215757,199689,98157,49128,96338,57921,67184,90980,306674,28179,194300,828,139916,291283,323282,754481,374958,17898,237645,271197,26789,1237,7120,6305,55784,23.6,40,749122,685376,31460,2377,20483,125,9301,44548,20784
OH-5,786607,342381,142101,248386,390487,127150,218029,345179,7.15%,182387,192740,208243,106903,57679,80287,46536,62384,80592,318336,24045,163400,784,141931,347910,290031,779872,376870,18725,236408,294554,28639,756,7762,4709,31512,22.7,40.4,728162,671523,28071,1742,6762,91,19973,58445,58768
OH-6,778845,361767,139482,254092,393574,134076,226601,360677,-3.38%,212795,181792,240593,101034,58146,73468,40349,52326,71430,323430,38337,139800,702,149643,333213,330543,813399,347840,19223,271693,280119,23494,1559,5595,4034,25592,23,43.5,739239,677718,48404,906,3406,125,8680,39606,22822
OH-7,792610,334815,192581,232256,424837,163047,207461,370508,3.39%,197702,200013,159107,105788,48709,125454,79485,75339,97843,320082,14733,217300,930,93091,549203,124579,766873,394806,15632,230540,279387,25884,1679,7522,6732,65861,23.6,42.6,747092,680899,29412,641,24428,1140,10572,45518,34698
OH-8,784419,324109,153370,241657,395027,130603,227466,358069,22.39%,148903,226727,178133,101419,43201,104258,55262,70382,88213,305949,18160,189500,936,120060,482515,157219,759794,379239,20449,222791,279003,25491,1090,6786,4759,55830,22.9,39.2,734936,600192,96194,1375,22818,951,13406,49483,30512
OH-9,783751,373515,186081,197468,383549,174123,177612,351735,-17.23%,235585,162173,181238,111571,57469,96337,54954,57732,78980,332746,40769,153700,783,263161,351443,177458,792063,365616,26074,234731,285179,27431,1557,4489,4965,33681,20.8,40.3,719229,599628,85783,2151,10845,1995,18827,64522,59286
OK-1,798974,345048,121871,190281,312152,97934,179882,277816,30.77%,108603,192026,140367,115573,44063,115733,62560,61030,84388,316712,28336,195400,925,197658,430780,78263,706701,375451,25231,220215,279447,29942,530,4212,5296,50281,20.9,36.5,674799,498755,66879,45699,26623,1044,35799,124175,103100
OK-2,795387,370758,72000,243615,315615,68868,219041,287909,36.43%,102645,200165,201257,115989,46385,72787,30106,47017,63567,306467,64291,131100,725,107906,198326,516280,822512,320291,21359,291972,249515,31337,586,5654,5442,22174,23.3,39.9,684901,503652,22906,133978,6909,939,16517,110486,47501
OK-3,786296,348673,76638,196075,272713,65688,185731,251419,40.62%,83957,194516,170436,106382,40205,72303,36816,51174,65677,294563,54110,140600,792,205615,306210,275412,787237,341267,22158,244965,265099,35810,657,6960,7523,23514,20.3,36.3,666437,530614,35459,41169,12443,1836,44916,119859,158195
OK-4,797575,343301,104031,200483,304514,84987,187332,272319,31.91%,85939,168334,167517,119351,40938,92522,52817,56822,74883,307721,35580,169200,863,158952,371325,212828,743104,353548,22881,243650,276924,30544,483,7890,8149,38537,22.2,36.5,682982,541319,58154,42210,20311,721,20267,114593,82594
OK-5,808407,354333,129350,189826,319176,102898,177150,280048,28.52%,121352,205124,132084,121620,42525,129823,71716,64407,87337,322504,31829,206600,952,213205,343825,134700,691730,389529,20642,222854,298027,26372,893,6496,5613,50040,23.3,36.8,718913,542718,91234,34881,23906,707,25467,89494,75856
OR-1,701594,323021,268304,114116,382420,202099,93579,295678,-29.76%,194718,95622,88917,106737,38981,141177,100984,82256,112212,297146,25875,492700,1441,145985,377180,90008,613172,358865,22097,200360,194897,21929,9016,12451,8130,107615,23.4,38.5,618315,479968,14337,7842,66737,1629,47802,83279,104483
OR-2,710992,312973,138802,231497,370299,101332,191223,292555,21.93%,126045,172571,146659,139405,44923,80059,42583,57026,75603,281000,31973,320000,970,112347,250937,305545,668829,289208,22591,263749,207438,27338,1335,7988,4511,35511,20.2,42.2,621766,556836,4220,16676,6259,1339,36436,89226,112977
OR-3,699003,297158,280723,97583,378306,219816,77122,296938,-46.27%,215511,77759,94560,114009,41374,136942,76888,79532,102287,279814,17344,472500,1376,273499,310754,57433,641685,369024,25936,181632,194678,30112,13140,9131,11849,102874,25.5,38.9,616446,476855,39674,7737,52418,5738,34024,82557,96009
OR-4,708207,325141,224384,172533,396917,171251,143081,314332,-14.01%,194473,134582,119794,139015,50622,91935,66926,59512,80785,295548,29593,355000,1098,123826,323620,201299,648745,311812,23895,262430,200825,26963,2890,12882,7738,54440,19.5,42.5,633485,579330,6351,8001,18620,1543,19640,74722,62323
OR-5,713162,300521,225528,188045,413573,161179,151130,312309,-2.17%,162219,138070,109710,129472,48832,121017,73334,81113,106442,281118,19403,481600,1399,116924,385320,137280,639524,341176,21061,217826,221523,19440,3266,7117,6293,75858,22.8,41.5,639332,574574,5033,5148,21509,640,32428,73830,73351
OR-6,713197,278195,202149,153928,356077,146059,125501,271560,-2.87%,144325,119871,104951,118307,47044,109176,60040,74711,96529,267973,10222,409300,1302,118186,397542,91562,607290,337383,20701,213924,213892,28260,2899,9907,5930,70024,24.3,38.2,617077,501884,11120,10877,24691,5838,62667,96120,147373
PA-1,763834,302961,241494,219860,461354,195145,192304,387449,-0.87%,207909,176165,146815,84434,43875,149802,95915,100136,128656,293397,9564,380000,1327,33759,608124,89107,730989,395603,23260,210129,263160,23164,4114,3509,4594,92031,27.7,43.6,718946,623554,30208,633,45360,49,19142,44888,44763
PA-10,764361,325918,188632,205145,393777,149136,183645,332781,7.26%,161366,169072,182255,79993,49831,111213,68204,72359,91469,309360,16558,213900,1052,137204,411820,162043,711067,373852,19403,224112,258202,24099,2304,8430,6338,67385,22.3,40.3,709638,563373,82338,1148,33241,253,29285,54723,72192
PA-11,772986,307397,153324,237711,391035,119068,206088,325156,22.72%,135025,182822,191648,85338,42619,94114,59457,75875,95093,295274,12123,247200,1126,99184,380827,234568,714579,391344,15680,208175,279185,33207,1605,10215,6625,51577,24.2,40.1,719845,644969,30333,1800,16970,454,25319,53141,74941
PA-12,756600,378471,255298,169584,424882,225161,156160,381321,-18.86%,236948,159018,155122,81013,60398,127328,93735,61514,86404,337345,41126,179400,961,328269,380761,59964,768994,375170,27610,238330,213651,21145,19158,12452,6820,92575,25.8,39.9,709040,562021,107734,1012,28765,179,9329,47560,17891
PA-13,762589,344937,107202,288138,395340,87351,247597,334948,34.38%,124770,202394,247902,78506,49724,77962,41218,60754,78345,303354,41583,169900,777,88595,232778,456470,777843,345031,18260,261255,261782,29629,804,8503,3801,35009,25.1,43.6,728379,696189,15973,1659,4985,193,9380,34210,27797
PA-14,761114,365700,138892,268716,407608,117360,233694,351054,18.91%,159520,189961,225151,85536,59167,90520,54036,58075,77629,324575,41125,156800,716,105842,294769,390248,790859,346128,22652,266636,260285,22514,974,8126,3807,43643,25.8,45.4,727058,693199,21813,544,5228,66,6208,34056,11704
PA-15,758343,369308,119496,263047,382543,102928,228626,331554,24.65%,146374,187451,229708,68772,51158,81692,52266,57945,75600,294258,75050,154200,777,94107,201869,498247,794223,334629,19290,282880,245637,25212,1696,14731,4755,35553,22.8,42.6,727884,693914,16277,1388,11765,113,4427,30459,15419
PA-16,763417,349056,158729,242664,401393,132840,212617,345457,7.88%,174623,181833,205958,86516,56229,101413,57656,60630,80392,316208,32848,164200,780,159311,311562,311006,781879,342762,23686,261757,254375,22849,2163,9758,4219,42638,23.6,43,726729,673629,33366,835,8491,165,10243,36688,21347
PA-17,756635,353732,237718,211206,448924,194193,190044,384237,0.43%,197482,191409,142717,82978,59108,149759,103628,77984,105966,326305,27427,217700,927,124539,515859,96251,736649,384753,21661,213715,243893,24489,6847,6457,4762,90480,24.4,42.8,710641,627914,49512,599,23998,57,8561,45994,17556
PA-2,767191,316526,221337,88108,309445,218981,72242,291223,-56.25%,221894,77312,179115,82306,31634,82260,54218,52293,74045,293338,23188,208800,1135,570822,148127,5352,724301,323356,40656,229052,163753,32835,34700,18212,11108,55819,31.5,35,685944,288307,191634,1146,74293,1123,129441,81247,197944
PA-3,741180,384298,357631,36689,394320,340349,30370,370719,-83.90%,349531,33457,129138,86296,29837,119781,111223,54392,81947,337881,46417,239500,1237,651665,55322,11142,718129,360856,38603,223246,133420,14086,57564,26236,13845,110557,31,35.2,693387,242569,385590,2835,40390,425,21578,47793,49672
PA-4,771749,310543,269148,182672,451820,215470,160938,376408,-9.73%,220058,155590,135469,72294,42427,151347,115193,99271,133608,298422,12121,348200,1393,52000,587506,86237,725743,394881,21489,211594,246310,20956,4534,6575,6804,102961,26.4,42.1,725809,593593,62073,1342,45709,94,22998,45940,45865
PA-5,754121,310569,276144,140495,416639,238704,128741,367445,-27.86%,240126,136422,138306,85218,40335,125932,96787,75243,111836,294626,15943,285500,1211,189977,522169,18383,730529,368711,33480,202802,217586,25127,21435,10329,5982,80509,27.6,39.1,705778,453465,181340,1598,48919,487,19969,48343,44193
PA-6,768151,301249,235146,174183,409329,188398,156470,344868,-3.07%,191805,150076,125263,71101,35620,147665,102089,94356,126385,290341,10908,358700,1288,108513,472334,136476,717323,389748,21400,199991,245391,23910,2564,8788,8202,94651,24.8,39.6,689381,547392,42480,2418,39878,15,57198,78770,124922
PA-7,771318,321085,197109,194646,391755,158299,167974,326273,-4.94%,179033,138187,178966,87266,53188,102522,65596,71407,95193,297676,23409,246200,1141,159604,413828,153917,727349,372806,26276,226708,265950,23987,3239,6385,3718,60368,25.2,40.7,675757,540652,40121,2409,22178,92,70305,95561,160145
PA-8,763499,373960,183201,194292,377493,147533,174353,321886,-12.79%,189307,139677,199500,95004,55042,94319,58689,63058,78887,309406,64554,176900,891,193989,315699,244512,754200,345603,26692,259740,244554,34868,3746,9361,3566,41984,27.3,42.9,682157,579688,42440,867,13820,676,44666,81342,109761
PA-9,766968,354762,119974,261286,381260,95528,229335,324863,21.28%,139835,184323,234946,81700,51234,80093,47353,62659,79802,307190,47572,174800,812,118879,248523,404428,771831,345563,20645,263182,262346,25584,2000,10160,4266,36826,23.7,43.2,724918,680264,18620,532,6194,74,19234,42050,46438
RI-1,545085,236136,152965,83224,236189,129113,75152,204265,-34.26%,149137,71299,105906,58301,28338,74293,62041,69666,96609,217564,18572,351500,1127,187223,296753,29712,513688,267006,25277,160471,173552,22605,4071,9135,6021,45171,24.5,39.9,470402,352727,30393,1902,19558,770,65052,74683,112222
RI-2,550525,248789,154521,116698,271219,123412,105391,228803,-22.51%,147434,94092,108525,72195,33857,87301,58691,77649,101621,222606,26183,345100,1168,138429,296867,93820,529116,279243,20019,157777,196033,17731,2079,4912,3525,48253,25.1,41.1,495137,422968,24015,1395,14586,722,31451,55388,75555
SC-1,744714,346270,171778,204859,376637,117934,161727,279661,18.42%,106598,138927,119417,96462,48983,133782,91953,78342,106096,285802,60468,342800,1396,72610,374388,118468,565467,340871,16502,229818,255920,26526,1282,3352,5472,58508,26.7,41,697351,521800,132855,4905,13634,475,23682,47363,56188
SC-2,744260,326666,160980,199792,360772,121631,175216,296847,20.62%,116007,170286,134330,103263,51911,112709,67054,61683,82069,296236,30430,191000,992,95187,381549,196893,673629,347476,23753,219289,264860,27200,617,11186,4685,39631,25.7,38.9,689428,454880,199955,810,17159,0,16624,54832,44756
SC-3,740035,334681,106466,236993,343459,86408,198581,284989,19.53%,97758,177078,163834,88379,60336,82732,51281,56382,74707,291903,42778,180300,824,77156,226519,385085,688760,321567,16431,261411,252150,28616,1467,3061,4338,24613,25,40.5,688213,540939,120569,3489,6062,239,16915,51822,40502
SC-4,747967,323580,138166,202526,340692,102316,171362,273678,24.65%,100333,155343,122522,97217,48322,117147,67788,64119,88428,295736,27844,231800,1018,118212,360293,156999,635503,364089,19125,216770,267979,30283,282,4000,6912,47488,24.8,38.3,683463,495328,128887,4327,19920,130,34871,64504,73111
SC-5,737349,317938,147082,213494,360576,114404,175665,290069,13.44%,115931,149468,153065,101932,51073,93466,53218,57897,81261,291358,26580,199600,918,70963,268494,313577,653035,332553,18633,232764,258605,20928,279,3876,3470,44513,27.8,40,691014,490197,169139,3549,11539,251,16339,46335,39721
SC-6,730296,352972,219791,111767,331558,195406,98753,294159,-35.91%,202034,97097,147216,93802,48609,86878,52906,47009,68794,293801,59171,171900,981,173877,279561,254318,707755,326792,24225,247325,237743,31785,2589,8807,7439,33734,25.2,37.3,694995,312537,349589,804,10605,867,20593,35301,39442
SC-7,746084,393850,147278,215672,362950,117274,174085,291359,10.34%,123788,146697,186586,112536,59970,78026,45696,50905,70329,295136,98714,187000,865,76192,257021,328397,661610,302006,21088,291991,240441,22910,853,3340,6099,23068,23.8,45.2,705708,485374,198715,2064,7034,161,12360,40376,35704
SD-1,895376,400688,150471,261043,411514,117458,227721,345179,18.44%,170924,203054,172971,118503,70944,127258,59688,66143,86194,356887,43801,219900,830,167506,311514,321575,800595,449435,12923,233623,339064,34682,1867,14332,6267,49394,17.4,37.6,841636,722723,17810,73115,14350,680,12958,53740,37785
TN-1,772206,372712,74137,256562,330699,55031,214628,269659,47.88%,81399,198595,196124,115989,51347,78736,46278,49065,70112,311190,61522,175100,758,95004,250384,398972,744360,327489,22457,288165,257484,25437,448,4288,5087,28813,24.6,44,723812,693271,11749,2128,4776,0,11888,48394,33134
TN-2,783395,349029,122697,226786,349483,85258,186938,272196,36.84%,100529,185844,164348,102204,45084,111773,69843,61938,83544,317766,31263,240200,965,115817,382227,203944,701988,374833,15409,249339,291006,21839,1453,4019,2705,49365,23.7,39.7,724826,664855,35933,1480,11374,445,10739,58569,36797
TN-3,776693,347586,115367,226465,341832,86554,188416,274970,29.63%,109303,183949,170355,121936,47901,93396,57913,59794,81728,313184,34402,214900,905,153747,277992,292002,723741,352294,21691,260595,264531,26682,751,4294,2883,44434,24.8,41.4,726144,619361,79618,2311,8848,73,15933,50549,41069
TN-4,781570,324205,98034,220500,318534,70070,175868,245938,32.14%,93088,158093,181878,101767,40367,93815,48781,62108,78004,288845,35360,234300,929,77586,247397,339640,664623,369179,17475,234131,274875,33639,497,3737,2726,46568,27.4,38.3,723140,613004,68981,1219,13906,1674,24356,58430,55711
TN-5,775588,329439,157650,198868,356518,111342,160588,271930,21.07%,117167,164026,113665,99754,39308,152489,87915,78185,117094,307370,22069,376100,1300,93847,388695,120791,603333,394857,16141,201781,267183,25640,1426,2066,3918,89349,27,38.4,717057,559142,102828,3056,25374,362,26295,58531,58706
TN-6,768525,347259,120085,221543,341628,88476,176831,265307,24.14%,110198,157137,184974,106327,40573,98765,54581,57373,77813,318229,29030,257800,1031,126388,280574,296576,703538,370440,17995,239548,270122,28969,1362,4453,4361,55799,25.8,40.4,723191,630111,61110,1366,8676,114,21814,45334,49071
TN-7,784694,343108,135688,185391,321079,99324,143476,242800,10.66%,124845,130555,158242,109047,40719,112265,62159,64551,87690,308622,34486,275800,1184,152369,250625,261231,664225,369129,18494,229222,273160,27964,3005,6454,5461,59373,26.4,35.8,709399,554344,116050,2062,16732,1080,19131,75295,60908
TN-8,764865,332791,110374,244592,354966,90042,211856,301898,34.23%,117103,217393,179669,103224,32011,98113,63350,59218,90356,296353,36438,195900,770,130147,302978,332703,765829,335672,15359,263109,260642,21617,1091,2867,5841,36675,24.1,41,723413,568295,124860,1928,13932,1082,13316,41452,26476
TN-9,767682,341863,209679,71768,281447,184598,64324,248922,-47.53%,233805,83586,153180,116991,36020,85052,52257,47518,68027,308836,33027,156700,1013,426380,285480,61726,773587,345418,35825,210997,262889,27854,1343,4262,5816,36275,22.5,34.7,728961,194977,478498,2520,15302,1429,36235,38721,58519
TX-1,775770,337510,86352,235937,322289,70209,206319,276528,44.13%,84888,193549,169182,124782,42050,74723,39719,54518,75592,280203,57307,159600,885,117309,263539,357503,738351,331385,19127,260140,258831,34178,218,3476,5457,23174,23.7,38.6,688723,517050,130539,5860,9289,271,25714,87047,135427
